ANNOSCOLASTICO,CODICESCUOLA,CLASSI,BAMBINIMASCHI,BAMBINIFEMMINE
202324,MBAA85901L,4,50,52
202324,BAAA82803E,6,69,56
202324,AVAA88203N,2,20,18
202324,VIAA84402P,2,12,12
202324,CAAA09303G,2,20,14
202324,NAAA8BT01E,6,55,53
202324,SRAA81901B,4,35,29
202324,FGAA870039,1,2,2
202324,VCAA809041,1,6,4
202324,VTAA80301A,3,28,33
202324,SRAA86402A,1,8,2
202324,RIAA82705A,10,98,94
202324,CRAA80502Q,1,9,12
202324,TOAA843016,2,20,21
202324,CZAA839026,1,12,5
202324,TPAA066052,1,9,7
202324,MCAA81902T,3,35,24
202324,SAAA8A206Q,2,16,24
202324,RMAA8CJ02D,5,37,45
202324,APAA82302A,6,83,68
202324,NAAA8CM044,3,30,27
202324,SAAA163019,3,36,30
202324,BLAA83305Q,2,21,13
202324,PEAA83701Q,3,28,30
202324,FIAA86801X,2,27,20
202324,IMAA80202P,3,32,44
202324,MIAA8CC01G,2,16,12
202324,AQAA82605G,1,8,6
202324,LEAA8AA03X,3,37,31
202324,BOAA82601Q,3,26,36
202324,ISAA81204L,1,1,1
202324,APAA824026,1,13,8
202324,BNAA81901X,3,32,25
202324,MSAA81703G,3,36,23
202324,ENAA816046,1,13,9
202324,ALAA81201N,4,44,37
202324,SRAA85902V,3,16,14
202324,BRAA80604R,3,31,28
202324,FIAA875057,2,20,19
202324,TOAA80605B,1,18,10
202324,PRAA840017,7,64,61
202324,NAAA10203D,15,126,124
202324,FRAA80304L,2,20,25
202324,CHAA837017,2,26,23
202324,KRAA82702V,1,9,8
202324,PEAA83302D,2,27,22
202324,IMAA80010C,2,37,13
202324,MIAA8BJ021,7,68,69
202324,PAAA853017,6,58,63
202324,LEAA895045,2,23,16
202324,VVAA83507P,2,15,7
202324,BOAA83903X,2,15,18
202324,BAAA17801B,6,56,91
202324,RMAA8D503C,5,60,46
202324,ISAA82611V,1,6,2
202324,VCAA81204R,1,4,6
202324,RCAA84203T,3,29,23
202324,TOAA83403D,1,15,14
202324,VAAA83808X,6,59,66
202324,TEAA816019,2,19,10
202324,CSAA84601C,2,14,22
202324,PZAA857054,1,10,13
202324,CZAA82902G,1,6,10
202324,PAAA8AD03P,3,29,35
202324,TPAA02705B,8,96,66
202324,RGAA832033,1,12,9
202324,PAAA117056,4,44,43
202324,VIAA88202D,3,24,27
202324,VAAA84101C,3,34,29
202324,NUAA82403L,1,14,14
202324,LCAA81201C,5,52,49
202324,SAAA8BX03A,3,31,31
202324,MEAA834025,3,39,32
202324,RAAA81802P,3,45,37
202324,BGAA85001P,6,70,51
202324,RMAA8DL01P,3,29,32
202324,FRAA84403T,5,56,49
202324,BOAA82204G,3,41,29
202324,CEAA862017,6,55,42
202324,RCAA83502N,1,6,14
202324,MIAA8FC01B,6,57,48
202324,RIAA82506Q,3,36,26
202324,ALAA808078,1,14,9
202324,PZAA84807B,1,5,13
202324,CZAA84902R,4,41,36
202324,MIAA8B3022,6,72,73
202324,FIAA818031,3,36,30
202324,GOAA81004R,1,27,21
202324,CTAA86001T,1,11,15
202324,BAAA12201B,6,52,48
202324,MOAA845024,5,39,55
202324,SAAA8AH01D,2,19,11
202324,MIAA8EF029,8,60,50
202324,MEAA84901T,6,53,45
202324,VAAA872025,1,11,11
202324,SIAA826027,2,17,23
202324,CHAA839031,2,11,9
202324,AQAA849014,5,69,55
202324,RNAA803027,1,14,5
202324,NOAA804025,3,22,25
202324,CSAA851054,3,31,24
202324,GRAA82602B,2,21,22
202324,LEAA88801V,2,31,22
202324,BGAA84101X,2,31,22
202324,BAAA858018,5,44,51
202324,NAAA8B6012,3,43,31
202324,TEAA83602G,1,5,5
202324,RCAA832026,3,24,20
202324,VVAA80703A,1,14,8
202324,TOAA899016,1,14,9
202324,MEAA81705E,2,26,19
202324,ATAA80402R,2,17,16
202324,PGAA85602R,3,30,25
202324,BRAA02304G,3,31,39
202324,PZAA863039,7,75,69
202324,CSAA8AG03E,2,18,9
202324,NOAA82801L,1,10,6
202324,RMAA867039,2,32,19
202324,CZAA818036,2,9,11
202324,PAAA8A8021,7,68,74
202324,TPAA82104A,1,9,10
202324,FRAA850046,2,21,11
202324,CHAA034062,1,10,6
202324,SAAA89704N,1,15,11
202324,MIAA8E8021,8,74,73
202324,SAAA16116A,1,7,12
202324,VCAA802013,1,9,13
202324,CNAA832017,4,54,52
202324,PIAA829047,1,12,11
202324,LTAA81904T,3,38,33
202324,TOAA8AQ04L,10,86,88
202324,CZAA86702A,5,41,29
202324,AQAA81205N,1,12,11
202324,RMAA868024,7,68,74
202324,CAAA879016,2,11,17
202324,BGAA83505R,5,53,64
202324,BAAA854011,6,56,41
202324,VVAA82802A,3,34,34
202324,BOAA825043,3,37,32
202324,REAA833016,4,50,43
202324,SAAA815056,2,16,15
202324,BOAA88103A,3,40,29
202324,TEAA83402X,3,32,21
202324,RCAA82902A,3,34,25
202324,NAAA8DT01Q,4,25,20
202324,NAAA033027,4,43,33
202324,ALAA81103X,1,7,7
202324,SAAA8BH014,1,13,4
202324,MEAA81602G,2,23,12
202324,PGAA86506Q,2,21,18
202324,CSAA8A001N,3,40,39
202324,CZAA81501L,2,18,22
202324,LOAA81503Q,2,24,25
202324,TOAA86101Q,7,59,66
202324,BAAA8AE02B,2,16,9
202324,NAAA847013,5,38,51
202324,BAAA09504B,1,9,15
202324,MNAA82102V,1,4,9
202324,LUAA822023,1,13,11
202324,MIAA8E502D,9,82,95
202324,CRAA80002L,6,78,77
202324,MEAA844071,2,23,11
202324,KRAA826056,1,10,14
202324,FEAA82503R,2,18,24
202324,LTAA831019,4,45,35
202324,TSAA81401R,2,17,17
202324,RAAA802036,3,26,30
202324,GEAA809011,3,30,25
202324,LIAA80703G,1,14,5
202324,BAAA866028,3,29,27
202324,RMAA8AJ02V,1,11,8
202324,REAA84502D,1,8,2
202324,TEAA83101B,4,35,37
202324,CNAA853029,3,27,26
202324,RCAA821082,1,9,6
202324,ROAA807027,3,43,25
202324,ANAA835055,1,13,10
202324,TAAA858022,3,34,24
202324,PDAA87202D,3,37,32
202324,BSAA88802P,4,40,36
202324,FRAA83703P,6,72,75
202324,NOAA820067,2,20,27
202324,MIAA8AQ012,4,49,41
202324,FOAA80302B,3,41,29
202324,LIAA818021,4,44,38
202324,TOAA86904D,3,30,36
202324,GOAA801042,2,25,17
202324,VEAA85503V,1,10,14
202324,MNAA82802N,3,33,32
202324,COAA852048,4,38,32
202324,CSAA8AV01R,3,23,38
202324,VBAA817027,2,20,15
202324,TOAA8AY01D,4,48,43
202324,TOAA88202T,5,51,63
202324,PCAA805035,3,37,40
202324,AVAA81204C,2,26,17
202324,AVAA86502V,13,108,82
202324,FRAA83804G,2,15,22
202324,VEAA86904T,2,20,16
202324,REAA819043,1,10,14
202324,FGAA842035,6,58,56
202324,CAAA82802A,2,13,8
202324,CNAA817026,4,37,47
202324,NAAA8FS026,8,66,61
202324,CTAA83801L,5,48,57
202324,SRAA831012,11,128,132
202324,TOAA8AN012,1,16,7
202324,FIAA81801V,4,38,47
202324,MIAA82502N,4,55,34
202324,BAAA12103N,4,46,35
202324,MBAA8GA017,3,35,31
202324,NAAA82701T,3,26,22
202324,MOAA82701D,4,34,36
202324,LCAA82402Q,4,43,44
202324,MNAA818023,1,14,11
202324,RMAA8BH02N,6,60,49
202324,NAAA21403L,5,56,42
202324,COAA85001D,3,38,26
202324,MEAA83801B,2,18,18
202324,PRAA81505P,4,60,45
202324,MEAA872042,5,63,45
202324,BSAA81701G,1,8,5
202324,FOAA82101X,2,29,27
202324,RMAA8GW012,7,78,55
202324,PEAA81603R,2,20,16
202324,PSAA82402T,1,14,7
202324,CAAA86801Q,4,24,31
202324,PZAA83305G,2,29,18
202324,SSAA80801C,1,10,7
202324,MCAA82702R,3,31,21
202324,FGAA856033,1,12,13
202324,UDAA84603C,2,16,15
202324,SRAA82501P,4,42,30
202324,SAAA8B401R,2,17,18
202324,PDAA858027,2,18,19
202324,BSAA89601L,4,41,46
202324,CLAA83101R,1,12,8
202324,SIAA80703V,5,56,58
202324,PTAA81801L,2,30,25
202324,TOAA8AL01A,3,29,21
202324,FOAA02303P,3,37,36
202324,RMAA84402G,6,65,50
202324,MIAA81001V,7,65,63
202324,NAAA8AM014,4,33,31
202324,TOAA82402T,4,18,13
202324,BNAA81706D,2,33,36
202324,PRAA80802C,1,23,22
202324,AGAA84405P,1,8,5
202324,RMAA8A402Q,3,30,27
202324,CSAA8AR036,3,46,29
202324,BLAA82601C,3,11,9
202324,VBAA80804E,2,17,13
202324,FOAA80602V,2,28,21
202324,ALAA828039,1,9,8
202324,PEAA810072,3,26,41
202324,CSAA88706X,1,9,6
202324,LTAA854012,2,19,12
202324,RAAA82803A,3,34,27
202324,PSAA822015,2,19,11
202324,CAAA86401C,3,37,27
202324,RMAA8EQ01C,3,27,25
202324,FGAA83103P,1,6,4
202324,PGAA03203A,3,33,44
202324,IMAA812018,2,24,24
202324,CNAA84303Q,2,19,24
202324,PNAA82203X,1,31,28
202324,NAAA36201R,9,114,91
202324,VEAA823019,3,21,34
202324,SOAA819018,2,23,24
202324,PDAA844018,3,36,30
202324,CSAA82201X,6,58,68
202324,MIAA8BJ01X,5,54,48
202324,UDAA82304R,3,6,4
202324,LOAA804028,3,42,23
202324,RMAA83701B,5,45,55
202324,RGAA810069,4,36,34
202324,BAAA89401B,2,32,10
202324,NAAA8AG017,7,69,58
202324,SRAA80901R,2,16,10
202324,LUAA822012,2,20,28
202324,LTAA81304V,1,7,9
202324,BAAA82202E,2,14,16
202324,CTAA813018,5,43,50
202324,FOAA81602D,5,45,49
202324,KRAA817039,1,6,7
202324,FEAA80501D,1,11,5
202324,ALAA83503C,1,14,11
202324,ARAA812036,2,17,13
202324,PVAA800056,1,8,10
202324,PDAA824013,4,50,51
202324,MBAA89401X,6,49,47
202324,TPAA02704A,3,26,18
202324,BAAA04405G,7,60,66
202324,CTAA864037,2,18,21
202324,CAAA81204V,1,11,6
202324,PGAA041057,1,11,4
202324,SAAA10402E,1,7,5
202324,SPAA80403E,3,30,43
202324,PIAA82101D,4,51,33
202324,CEAA82301L,6,59,56
202324,FRAA83602T,2,16,18
202324,SAAA8BX029,3,30,30
202324,CRAA80805A,1,11,9
202324,UDAA821045,2,13,19
202324,BOAA82203E,2,28,13
202324,RMAA8CB018,8,82,60
202324,BAAA81903Q,2,18,23
202324,TOAA81302B,1,10,7
202324,BRAA832016,7,38,41
202324,CTAA80801R,3,40,27
202324,FOAA811019,5,47,48
202324,SOAA814037,2,27,15
202324,RMAA8GD01A,5,37,28
202324,ARAA820035,2,16,22
202324,CZAA871077,2,20,12
202324,MIAA8D601N,3,36,23
202324,FIAA840025,4,43,50
202324,CBAA81606V,1,4,4
202324,TRAA82104G,1,5,4
202324,CTAA85903Q,2,18,21
202324,FGAA842024,1,3,7
202324,PGAA02308R,2,23,17
202324,VIAA848033,1,9,9
202324,UDAA83702L,4,38,43
202324,CTAA82302X,2,13,20
202324,CEAA01204A,2,16,16
202324,SSAA02506C,3,18,33
202324,SAAA8BU02T,5,43,52
202324,RMAA820034,2,17,22
202324,CRAA81404L,1,9,4
202324,LEAA887035,3,28,18
202324,BAAA070065,1,11,10
202324,MCAA820055,1,4,6
202324,BAAA88603E,3,36,31
202324,BOAA832024,1,7,8
202324,AGAA82804Q,1,10,9
202324,BLAA81601T,2,21,21
202324,ANAA80905L,1,11,6
202324,NAAA8FE03P,1,5,8
202324,AQAA82705B,1,10,10
202324,FIAA85204D,2,19,31
202324,GEAA815018,1,10,6
202324,CAAA895014,2,15,12
202324,TSAA80602V,2,17,23
202324,CTAA88102X,6,50,58
202324,KRAA80304C,2,14,14
202324,POAA82201E,3,21,28
202324,APAA833043,3,41,33
202324,MTAA81805L,1,4,8
202324,CEAA8AL012,5,35,25
202324,SAAA161159,1,14,9
202324,ENAA82001P,5,52,47
202324,ALAA822029,1,17,14
202324,CSAA850036,1,1,5
202324,VRAA86303D,2,21,13
202324,TSAA819021,1,6,4
202324,AQAA836045,1,9,11
202324,BGAA83504Q,3,86,78
202324,PAAA817058,1,6,7
202324,BAAA897031,3,28,36
202324,SPAA81603R,1,14,11
202324,TOAA807046,1,6,5
202324,PSAA03902L,1,14,8
202324,RMAA88601L,3,35,28
202324,RIAA82001B,1,8,4
202324,NOAA833025,3,39,29
202324,VRAA88801Q,5,42,38
202324,RMAA8G5016,7,71,62
202324,PGAA833035,2,25,17
202324,FGAA81602G,1,5,6
202324,UDAA820016,3,26,26
202324,ATAA81203R,2,25,25
202324,PCAA81102B,1,13,5
202324,BRAA82903C,2,9,12
202324,CZAA814062,2,15,18
202324,PAAA87901B,4,40,32
202324,SVAA80204A,2,13,19
202324,LUAA849045,3,33,34
202324,BAAA838013,4,40,38
202324,TSAA80001V,3,6,6
202324,REAA81401R,3,16,16
202324,VCAA81304L,3,29,26
202324,MEAA84406X,2,18,20
202324,ORAA81404E,2,16,14
202324,CEAA07301P,5,54,41
202324,CSAA848058,1,8,10
202324,TSAA813011,4,44,49
202324,TOAA849037,1,10,8
202324,MCAA82601X,3,36,34
202324,BAAA89302L,2,29,21
202324,MNAA81301V,5,55,51
202324,CHAA817012,1,12,6
202324,RCAA80501R,1,32,27
202324,VAAA878024,2,21,16
202324,AGAA855011,7,75,51
202324,PGAA847022,3,34,46
202324,ARAA842032,2,18,21
202324,CSAA856013,2,28,20
202324,LIAA81801X,3,20,32
202324,PDAA059013,3,40,28
202324,PVAA835044,1,12,9
202324,FRAA84504P,2,15,24
202324,LEAA836016,3,50,31
202324,VIAA821011,7,79,65
202324,MOAA810014,4,56,44
202324,MIAA8FE013,9,87,61
202324,BGAA8AB032,4,47,39
202324,UDAA84903X,2,19,24
202324,CNAA825025,5,58,54
202324,VTAA83602P,2,21,24
202324,BSAA86702N,4,53,35
202324,FRAA82906V,1,15,10
202324,ATAA001019,3,39,27
202324,TOAA8A4049,6,61,47
202324,VRAA85501C,4,51,53
202324,CZAA862038,1,11,10
202324,FIAA82705T,3,23,44
202324,MEAA891029,1,5,5
202324,TAAA83006A,2,16,19
202324,TPAA829052,2,19,19
202324,FRAA857052,1,7,9
202324,SSAA84403N,2,21,23
202324,SAAA8AU049,1,10,10
202324,RMAA8CA02D,6,71,43
202324,TOAA81203L,2,19,15
202324,AGAA850041,3,34,41
202324,BLAA829021,2,19,12
202324,PGAA82805Q,1,13,7
202324,RNAA80502V,2,27,18
202324,PEAA83103V,3,31,34
202324,NOAA80601Q,5,41,36
202324,IMAA805037,3,41,28
202324,SSAA854016,4,36,42
202324,PVAA83201D,2,24,20
202324,NAAA826034,8,76,66
202324,VIAA847015,2,22,21
202324,MSAA822011,2,23,18
202324,NAAA8DJ047,2,24,20
202324,BNAA85702Q,3,21,9
202324,TEAA82301C,2,11,20
202324,SSAA025028,2,15,13
202324,ENAA80502N,2,15,24
202324,CNAA83603L,1,9,10
202324,BSAA85503C,3,39,35
202324,FRAA826038,1,5,9
202324,FEAA81901B,2,25,17
202324,VRAA845063,1,10,7
202324,PGAA86903X,3,36,35
202324,BRAA03103D,4,28,41
202324,ATAA808046,2,9,15
202324,TOAA8A101P,6,63,57
202324,RCAA86301R,2,14,11
202324,CHAA812064,2,19,16
202324,RIAA808073,1,7,6
202324,CNAA83702B,2,18,21
202324,PGAA840038,3,32,30
202324,LTAA83501L,5,56,43
202324,PZAA88906L,3,18,29
202324,PAAA85803C,5,45,32
202324,GEAA86301N,1,17,4
202324,VVAA829037,2,19,18
202324,LEAA82702C,2,28,24
202324,RGAA00413B,3,41,27
202324,MOAA80501L,5,49,50
202324,COAA84801D,1,8,11
202324,MEAA83702L,1,6,2
202324,TAAA864029,5,38,35
202324,FEAA815025,2,13,16
202324,GRAA81701G,2,10,24
202324,MIAA8A5012,5,49,39
202324,TOAA86601V,2,16,16
202324,APAA80606R,2,23,20
202324,GEAA865019,5,63,54
202324,VEAA86301Q,4,47,47
202324,SAAA8AN045,2,26,9
202324,MNAA80303A,6,82,72
202324,RCAA87301B,6,51,59
202324,FGAA83102N,1,9,7
202324,MNAA834032,3,35,33
202324,LUAA83301C,3,41,31
202324,NOAA83205C,1,8,18
202324,ORAA803066,1,12,8
202324,PGAA832017,1,8,15
202324,KRAA82902E,3,5,17
202324,NOAA80804E,4,43,39
202324,RAAA81201P,4,63,42
202324,SAAA881033,1,13,24
202324,BNAA84902R,2,20,21
202324,BIAA81802L,1,13,16
202324,NAAA8FZ054,2,15,16
202324,BSAA848017,5,51,57
202324,TEAA81606E,1,13,12
202324,FEAA80302V,3,21,37
202324,CZAA85202L,2,16,18
202324,MIAA8AV01V,5,49,48
202324,FIAA820075,4,43,50
202324,CAAA848101,1,6,8
202324,PVAA82901N,3,33,42
202324,TPAA82002C,2,21,20
202324,MOAA832022,4,41,46
202324,RCAA86801X,5,46,42
202324,SAAA8AM038,2,17,16
202324,FGAA847038,4,48,28
202324,CHAA80605Q,1,10,8
202324,NAAA8EQ02E,6,52,55
202324,NUAA876017,3,31,30
202324,SPAA802062,1,12,5
202324,CLAA82504L,2,10,17
202324,AVAA81702D,4,31,29
202324,BGAA85502V,1,12,11
202324,PAAA077051,4,46,42
202324,LEAA83501A,2,28,16
202324,BLAA82005N,2,23,23
202324,SAAA8BB015,7,73,75
202324,CTAA84101C,7,72,72
202324,MEAA81401V,2,12,13
202324,ALAA82311G,1,11,9
202324,CRAA80102C,2,21,15
202324,LEAA85402R,2,19,19
202324,AVAA849043,2,15,20
202324,APAA811013,2,18,21
202324,MIAA83302L,2,14,22
202324,TPAA81803D,2,29,20
202324,MOAA84801E,3,27,29
202324,BAAA124024,3,34,22
202324,BOAA811012,2,19,15
202324,PGAA00204G,3,47,31
202324,NAAA8EE023,4,38,31
202324,RIAA822046,2,18,19
202324,ANAA82401E,3,30,32
202324,NUAA872054,1,13,9
202324,PEAA822012,6,57,71
202324,LTAA84904N,2,24,16
202324,CTAA8AU047,1,5,16
202324,CAAA870083,2,12,19
202324,TRAA814019,3,36,32
202324,CTAA84501Q,2,19,20
202324,SSAA80807P,1,11,4
202324,BOAA87002V,6,62,62
202324,SAAA873023,2,26,23
202324,IMAA81502R,2,25,25
202324,BAAA817045,2,16,13
202324,PNAA83003V,8,54,56
202324,BNAA84304X,6,38,41
202324,ROAA81901C,2,25,14
202324,BLAA814016,2,26,21
202324,SAAA8B7018,8,77,63
202324,CBAA848015,11,106,102
202324,RMAA8F8057,4,46,29
202324,BSAA89702D,1,12,13
202324,AQAA84503V,3,32,25
202324,ALAA831035,3,47,32
202324,CSAA82903R,1,13,5
202324,VRAA81306G,3,28,31
202324,PTAA82204B,3,31,28
202324,TOAA85302T,4,34,56
202324,PVAA82406Q,1,15,16
202324,TPAA81702L,2,18,12
202324,RGAA82003R,3,44,30
202324,SSAA82902E,4,42,33
202324,RCAA862044,2,11,11
202324,NAAA8AW018,3,20,25
202324,SRAA81702R,5,39,37
202324,NAAA8E902A,2,28,16
202324,VTAA80104T,3,22,40
202324,TVAA87201E,3,35,26
202324,CTAA8AQ04E,2,19,21
202324,TPAA066041,2,8,7
202324,REAA834023,3,33,28
202324,COAA822019,4,43,44
202324,CEAA89502G,2,9,12
202324,CNAA82201L,1,9,8
202324,CBAA83205Q,5,38,45
202324,PIAA825051,2,24,24
202324,CSAA82304V,1,4,1
202324,MIAA8A4027,1,1,2
202324,FIAA83403V,1,6,10
202324,MIAA8CB01Q,5,53,47
202324,LOAA81702A,2,25,22
202324,LEAA84304C,4,46,37
202324,TOAA865035,1,15,9
202324,LEAA80001B,4,47,30
202324,MNAA82202P,1,15,13
202324,SAAA806028,4,38,56
202324,NAAA8DJ025,2,17,14
202324,NAAA8E6052,4,32,24
202324,ANAA81701B,2,32,13
202324,CTAA81801B,4,52,42
202324,VTAA813033,3,31,32
202324,TOAA8BX018,3,28,32
202324,ARAA825027,2,22,16
202324,TOAA87601D,6,51,55
202324,BRAA80603Q,1,9,9
202324,FIAA875046,3,31,39
202324,CSAA86810Q,2,12,13
202324,PVAA812029,2,20,26
202324,CTAA8AM025,4,56,28
202324,GEAA84701Q,4,49,52
202324,SVAA81901L,4,46,48
202324,BGAA89202T,2,21,7
202324,BAAA05607X,3,27,33
202324,TPAA04913N,1,8,8
202324,CAAA82102G,3,15,19
202324,SAAA86202L,4,48,41
202324,COAA815016,2,18,21
202324,UDAA83103P,5,36,56
202324,ROAA81101T,2,29,15
202324,CNAA812012,1,4,6
202324,RMAA8F1018,4,37,35
202324,TOAA8AH02E,4,43,35
202324,MIAA8FR02B,3,41,31
202324,PZAA88904E,1,8,11
202324,PAAA8AZ03T,2,16,17
202324,SVAA81903P,2,27,23
202324,MBAA8EV016,6,69,54
202324,TPAA84203A,2,21,16
202324,BOAA83902V,1,11,14
202324,RMAA8D502B,3,27,30
202324,CNAA84802T,2,11,20
202324,NAAA178103,3,30,24
202324,VCAA81203Q,2,15,9
202324,MTAA81001T,3,28,22
202324,MIAA8FD028,9,106,97
202324,MEAA86704E,4,33,52
202324,RMAA8GG01T,6,62,70
202324,TOAA8BL022,2,15,16
202324,CSAA87301R,2,20,11
202324,TVAA858018,2,22,20
202324,CTAA8AL029,2,21,30
202324,FIAA86003B,4,43,37
202324,AQAA83402B,2,24,19
202324,TRAA00504P,1,12,11
202324,NAAA8C601L,4,40,26
202324,SAAA857036,2,23,21
202324,PNAA813024,1,7,8
202324,COAA80901V,3,29,30
202324,CEAA87802T,6,64,48
202324,UDAA842024,3,39,28
202324,CNAA818022,2,22,23
202324,MEAA834014,1,7,7
202324,PTAA814019,1,6,3
202324,PCAA005036,1,13,11
202324,MIAA8BU01R,9,91,90
202324,LOAA81003L,2,27,23
202324,ANAA850013,7,80,73
202324,LEAA88905V,6,70,43
202324,MIAA83301G,5,54,48
202324,NAAA8AB014,2,16,10
202324,CEAA8BD02D,3,38,21
202324,APAA82603V,3,32,25
202324,MSAA821026,4,37,31
202324,MEAA86501Q,7,60,57
202324,ANAA81102D,2,29,15
202324,NAAA8FG03A,2,15,16
202324,PIAA84204N,1,9,9
202324,CSAA88305G,2,10,13
202324,LTAA84902G,2,18,26
202324,BRAA03101B,2,22,23
202324,FIAA870043,1,9,11
202324,PVAA80405D,1,13,12
202324,TOAA843049,1,11,8
202324,GEAA83902T,4,40,47
202324,LEAA8AE037,3,43,41
202324,RMAA8EC019,5,45,41
202324,NAAA8BX01T,7,59,69
202324,RMAA8BA01T,2,19,14
202324,COAA80602C,2,20,18
202324,AGAA82408L,2,23,21
202324,VEAA810028,2,16,24
202324,VAAA871018,4,41,45
202324,SAAA16309N,1,7,10
202324,PEAA807065,3,24,25
202324,LOAA80901A,5,55,53
202324,BGAA83901X,2,19,12
202324,NAAA8A402R,9,82,54
202324,SPAA821016,5,62,58
202324,MOAA80402T,3,43,39
202324,LUAA84501P,3,33,37
202324,RMAA8CQ017,9,79,109
202324,BNAA819076,1,4,7
202324,RMAA8A601A,4,42,33
202324,CTAA09001P,13,150,137
202324,NUAA86004R,1,9,9
202324,TOAA8BP03A,2,26,17
202324,FGAA819023,2,15,21
202324,PEAA83805Q,2,23,19
202324,TOAA89803C,2,14,14
202324,TVAA837028,5,41,30
202324,CZAA818025,3,30,40
202324,MBAA857011,7,70,91
202324,AVAA88202L,1,9,9
202324,CAAA09302E,1,9,9
202324,SAAA89703L,2,20,19
202324,COAA80105C,2,33,19
202324,AGAA833014,10,92,84
202324,CEAA80802G,3,21,22
202324,VVAA80704B,1,9,11
202324,PEAA05201V,5,49,58
202324,IMAA80103X,1,12,15
202324,CRAA80501P,4,39,45
202324,CZAA839015,4,34,43
202324,PSAA82601C,5,63,58
202324,SAAA8A205P,2,22,18
202324,FGAA820038,1,10,7
202324,BOAA825032,2,22,18
202324,APAA823019,3,36,37
202324,NAAA81001C,2,26,18
202324,SOAA80904R,3,38,29
202324,MEAA889018,2,14,14
202324,ANAA81603N,3,25,37
202324,CTAA081054,3,35,28
202324,FRAA821013,2,30,11
202324,BSAA84702C,2,22,28
202324,CLAA014047,5,40,42
202324,RNAA812055,1,8,18
202324,TOAA89602Q,1,12,11
202324,FIAA867047,2,19,23
202324,CZAA87307V,1,6,2
202324,GEAA82502X,3,30,37
202324,RGAA80506T,5,55,48
202324,NAAA84502C,6,35,36
202324,VIAA83502X,4,47,43
202324,MOAA811043,1,10,5
202324,UDAA83102N,3,38,18
202324,BIAA80901R,1,20,8
202324,VAAA843014,10,112,126
202324,ALAA811041,2,14,18
202324,VVAA82206G,1,12,15
202324,SRAA85901T,4,29,26
202324,TOAA8AA03R,1,8,17
202324,PZAA87604C,1,12,8
202324,CRAA81202V,5,56,46
202324,BGAA85501T,2,23,13
202324,PAAA82804N,3,30,19
202324,RMAA8CD01X,11,112,111
202324,NUAA830041,1,6,4
202324,TAAA858011,4,43,45
202324,TOAA8BL011,3,30,25
202324,PEAA83301C,6,64,84
202324,UDAA826015,2,21,17
202324,ANAA84604E,1,14,7
202324,NAAA833026,6,53,46
202324,MOAA84702Q,3,40,22
202324,VVAA83506N,1,3,5
202324,LUAA82901R,1,3,9
202324,BAAA17708V,3,28,28
202324,ISAA82610T,1,9,11
202324,CEAA8AS016,3,27,32
202324,NAAA11902T,5,54,30
202324,ENAA810036,3,25,26
202324,ALAA81801L,2,15,22
202324,TOAA8AX03Q,4,48,28
202324,CSAA842059,3,11,12
202324,PVAA800089,2,19,26
202324,PAAA8AD02N,4,45,32
202324,CAAA870061,1,10,11
