id_voto,id_studente,id_docente,materia,voto
VOT0065,STU0015,DOC0001,Matematica,6
VOT0066,STU0015,DOC0001,Matematica,7
VOT0067,STU0015,DOC0003,Educazione Fisica,8
VOT0068,STU0015,DOC0003,Educazione Fisica,6
VOT0069,STU0015,DOC0005,Scienze,5
VOT0070,STU0015,DOC0005,Scienze,9
VOT0071,STU0016,DOC0001,Matematica,8
VOT0072,STU0016,DOC0001,Matematica,7
VOT0073,STU0016,DOC0003,Educazione Fisica,6
VOT0074,STU0016,DOC0003,Educazione Fisica,10
VOT0075,STU0016,DOC0005,Scienze,8
VOT0076,STU0016,DOC0005,Scienze,6
VOT0077,STU0017,DOC0001,Matematica,6
VOT0078,STU0017,DOC0001,Matematica,6
VOT0079,STU0017,DOC0003,Educazione Fisica,6
VOT0080,STU0017,DOC0003,Educazione Fisica,8
VOT0081,STU0017,DOC0005,Scienze,8
VOT0082,STU0017,DOC0005,Scienze,6
VOT0083,STU0018,DOC0001,Matematica,6
VOT0084,STU0018,DOC0001,Matematica,6
VOT0085,STU0018,DOC0003,Educazione Fisica,6
VOT0086,STU0018,DOC0003,Educazione Fisica,6
VOT0087,STU0018,DOC0005,Scienze,7
VOT0088,STU0018,DOC0005,Scienze,7
VOT0089,STU0019,DOC0001,Matematica,5
VOT0090,STU0019,DOC0001,Matematica,8
VOT0091,STU0019,DOC0003,Educazione Fisica,7
VOT0092,STU0019,DOC0003,Educazione Fisica,8
VOT0093,STU0019,DOC0005,Scienze,7
VOT0094,STU0019,DOC0005,Scienze,8
VOT0095,STU0020,DOC0001,Matematica,6
VOT0096,STU0020,DOC0001,Matematica,5
VOT0097,STU0020,DOC0003,Educazione Fisica,7
VOT0098,STU0020,DOC0003,Educazione Fisica,7
VOT0099,STU0020,DOC0005,Scienze,9
VOT0100,STU0020,DOC0005,Scienze,4
VOT0101,STU0021,DOC0001,Matematica,8
VOT0102,STU0021,DOC0001,Matematica,10
VOT0103,STU0021,DOC0003,Educazione Fisica,8
VOT0104,STU0021,DOC0003,Educazione Fisica,7
VOT0105,STU0021,DOC0005,Scienze,4
VOT0106,STU0021,DOC0005,Scienze,6
VOT0107,STU0022,DOC0001,Matematica,5
VOT0108,STU0022,DOC0001,Matematica,6
VOT0109,STU0022,DOC0003,Educazione Fisica,7
VOT0110,STU0022,DOC0003,Educazione Fisica,8
VOT0111,STU0022,DOC0005,Scienze,7
VOT0112,STU0022,DOC0005,Scienze,6
VOT0113,STU0023,DOC0001,Matematica,6
VOT0114,STU0023,DOC0001,Matematica,7
VOT0115,STU0023,DOC0003,Educazione Fisica,7
VOT0116,STU0023,DOC0003,Educazione Fisica,9
VOT0117,STU0023,DOC0005,Scienze,6
VOT0118,STU0023,DOC0005,Scienze,3
VOT0119,STU0024,DOC0001,Matematica,7
VOT0120,STU0024,DOC0001,Matematica,8
VOT0121,STU0024,DOC0003,Educazione Fisica,5
VOT0122,STU0024,DOC0003,Educazione Fisica,5
VOT0123,STU0024,DOC0005,Scienze,6
VOT0124,STU0024,DOC0005,Scienze,6
VOT0125,STU0025,DOC0001,Matematica,6
VOT0126,STU0025,DOC0001,Matematica,7
VOT0127,STU0025,DOC0003,Educazione Fisica,5
VOT0128,STU0025,DOC0003,Educazione Fisica,7
VOT0129,STU0025,DOC0005,Scienze,6
VOT0130,STU0025,DOC0005,Scienze,6
VOT0131,STU0026,DOC0001,Matematica,5
VOT0132,STU0026,DOC0001,Matematica,9
VOT0133,STU0026,DOC0003,Educazione Fisica,6
VOT0134,STU0026,DOC0003,Educazione Fisica,5
VOT0135,STU0026,DOC0005,Scienze,9
VOT0136,STU0026,DOC0005,Scienze,6
VOT0137,STU0027,DOC0001,Matematica,10
VOT0138,STU0027,DOC0001,Matematica,8
VOT0139,STU0027,DOC0003,Educazione Fisica,7
VOT0140,STU0027,DOC0003,Educazione Fisica,8
VOT0141,STU0027,DOC0005,Scienze,5
VOT0142,STU0027,DOC0005,Scienze,5
VOT0143,STU0028,DOC0004,Italiano,9
VOT0144,STU0028,DOC0004,Italiano,3
VOT0145,STU0029,DOC0004,Italiano,5
VOT0146,STU0029,DOC0004,Italiano,8
VOT0147,STU0030,DOC0004,Italiano,6
VOT0148,STU0030,DOC0004,Italiano,6
VOT0149,STU0031,DOC0004,Italiano,6
VOT0150,STU0031,DOC0004,Italiano,4
VOT0151,STU0032,DOC0004,Italiano,4
VOT0152,STU0032,DOC0004,Italiano,5
VOT0153,STU0033,DOC0004,Italiano,8
VOT0154,STU0033,DOC0004,Italiano,9
VOT0155,STU0034,DOC0004,Italiano,6
VOT0156,STU0034,DOC0004,Italiano,8
VOT0157,STU0035,DOC0004,Italiano,7
VOT0158,STU0035,DOC0004,Italiano,5
VOT0159,STU0036,DOC0004,Italiano,6
VOT0160,STU0036,DOC0004,Italiano,6
VOT0161,STU0037,DOC0004,Italiano,4
VOT0162,STU0037,DOC0004,Italiano,6
VOT0163,STU0038,DOC0004,Italiano,6
VOT0164,STU0038,DOC0004,Italiano,5
VOT0165,STU0039,DOC0004,Italiano,5
VOT0166,STU0039,DOC0004,Italiano,5
VOT0167,STU0040,DOC0004,Italiano,6
VOT0168,STU0040,DOC0004,Italiano,9
VOT0169,STU0041,DOC0004,Italiano,4
VOT0170,STU0041,DOC0004,Italiano,9
VOT0171,STU0042,DOC0004,Italiano,8
VOT0172,STU0042,DOC0004,Italiano,6
VOT0173,STU0043,DOC0004,Italiano,7
VOT0174,STU0043,DOC0004,Italiano,5
VOT0175,STU0044,DOC0011,Storia,5
VOT0176,STU0044,DOC0011,Storia,4
VOT0177,STU0044,DOC0012,Scienze,7
VOT0178,STU0044,DOC0012,Scienze,7
VOT0179,STU0044,DOC0013,Italiano,4
VOT0180,STU0044,DOC0013,Italiano,6
VOT0181,STU0044,DOC0014,Educazione Fisica,6
VOT0182,STU0044,DOC0014,Educazione Fisica,8
VOT0183,STU0044,DOC0015,Matematica,7
VOT0184,STU0044,DOC0015,Matematica,7
VOT0185,STU0045,DOC0011,Storia,6
VOT0186,STU0045,DOC0011,Storia,6
VOT0187,STU0045,DOC0012,Scienze,6
VOT0188,STU0045,DOC0012,Scienze,8
VOT0189,STU0045,DOC0013,Italiano,8
VOT0190,STU0045,DOC0013,Italiano,7
VOT0191,STU0045,DOC0014,Educazione Fisica,5
VOT0192,STU0045,DOC0014,Educazione Fisica,7
VOT0193,STU0045,DOC0015,Matematica,5
VOT0194,STU0045,DOC0015,Matematica,7
VOT0195,STU0046,DOC0011,Storia,7
VOT0196,STU0046,DOC0011,Storia,8
VOT0197,STU0046,DOC0012,Scienze,5
VOT0198,STU0046,DOC0012,Scienze,6
VOT0199,STU0046,DOC0013,Italiano,4
VOT0200,STU0046,DOC0013,Italiano,6
VOT0201,STU0046,DOC0014,Educazione Fisica,7
VOT0202,STU0046,DOC0014,Educazione Fisica,7
VOT0203,STU0046,DOC0015,Matematica,7
VOT0204,STU0046,DOC0015,Matematica,4
VOT0205,STU0047,DOC0011,Storia,5
VOT0206,STU0047,DOC0011,Storia,6
VOT0207,STU0047,DOC0012,Scienze,5
VOT0208,STU0047,DOC0012,Scienze,9
VOT0209,STU0047,DOC0013,Italiano,8
VOT0210,STU0047,DOC0013,Italiano,6
VOT0211,STU0047,DOC0014,Educazione Fisica,7
VOT0212,STU0047,DOC0014,Educazione Fisica,7
VOT0213,STU0047,DOC0015,Matematica,10
VOT0214,STU0047,DOC0015,Matematica,5
VOT0215,STU0048,DOC0011,Storia,10
VOT0216,STU0048,DOC0011,Storia,9
VOT0217,STU0048,DOC0012,Scienze,7
VOT0218,STU0048,DOC0012,Scienze,7
VOT0219,STU0048,DOC0013,Italiano,9
VOT0220,STU0048,DOC0013,Italiano,4
VOT0221,STU0048,DOC0014,Educazione Fisica,5
VOT0222,STU0048,DOC0014,Educazione Fisica,5
VOT0223,STU0048,DOC0015,Matematica,8
VOT0224,STU0048,DOC0015,Matematica,5
VOT0225,STU0049,DOC0011,Storia,8
VOT0226,STU0049,DOC0011,Storia,9
VOT0227,STU0049,DOC0012,Scienze,5
VOT0228,STU0049,DOC0012,Scienze,7
VOT0229,STU0049,DOC0013,Italiano,4
VOT0230,STU0049,DOC0013,Italiano,6
VOT0231,STU0049,DOC0014,Educazione Fisica,8
VOT0232,STU0049,DOC0014,Educazione Fisica,9
VOT0233,STU0049,DOC0015,Matematica,6
VOT0234,STU0049,DOC0015,Matematica,6
VOT0235,STU0050,DOC0010,Educazione Fisica,5
VOT0236,STU0050,DOC0010,Educazione Fisica,8
VOT0237,STU0051,DOC0010,Educazione Fisica,5
VOT0238,STU0051,DOC0010,Educazione Fisica,8
VOT0239,STU0052,DOC0010,Educazione Fisica,5
VOT0240,STU0052,DOC0010,Educazione Fisica,8
VOT0241,STU0053,DOC0010,Educazione Fisica,5
VOT0242,STU0053,DOC0010,Educazione Fisica,8
VOT0243,STU0054,DOC0010,Educazione Fisica,6
VOT0244,STU0054,DOC0010,Educazione Fisica,8
VOT0245,STU0055,DOC0010,Educazione Fisica,8
VOT0246,STU0055,DOC0010,Educazione Fisica,8
VOT0247,STU0056,DOC0010,Educazione Fisica,5
VOT0248,STU0056,DOC0010,Educazione Fisica,4
VOT0249,STU0057,DOC0010,Educazione Fisica,8
VOT0250,STU0057,DOC0010,Educazione Fisica,5
VOT0251,STU0058,DOC0010,Educazione Fisica,7
VOT0252,STU0058,DOC0010,Educazione Fisica,7
VOT0253,STU0059,DOC0010,Educazione Fisica,4
VOT0254,STU0059,DOC0010,Educazione Fisica,5
VOT0255,STU0060,DOC0010,Educazione Fisica,8
VOT0256,STU0060,DOC0010,Educazione Fisica,9
VOT0257,STU0061,DOC0010,Educazione Fisica,9
VOT0258,STU0061,DOC0010,Educazione Fisica,4
VOT0259,STU0062,DOC0010,Educazione Fisica,7
VOT0260,STU0062,DOC0010,Educazione Fisica,4
VOT0261,STU0063,DOC0010,Educazione Fisica,7
VOT0262,STU0063,DOC0010,Educazione Fisica,6
VOT0263,STU0064,DOC0010,Educazione Fisica,8
VOT0264,STU0064,DOC0010,Educazione Fisica,5
VOT0265,STU0065,DOC0006,Storia,4
VOT0266,STU0065,DOC0006,Storia,6
VOT0267,STU0065,DOC0007,Italiano,7
VOT0268,STU0065,DOC0007,Italiano,8
VOT0269,STU0065,DOC0009,Matematica,6
VOT0270,STU0065,DOC0009,Matematica,5
VOT0271,STU0066,DOC0006,Storia,7
VOT0272,STU0066,DOC0006,Storia,7
VOT0273,STU0066,DOC0007,Italiano,7
VOT0274,STU0066,DOC0007,Italiano,7
VOT0275,STU0066,DOC0009,Matematica,8
VOT0276,STU0066,DOC0009,Matematica,6
VOT0277,STU0067,DOC0006,Storia,9
VOT0278,STU0067,DOC0006,Storia,7
VOT0279,STU0067,DOC0007,Italiano,7
VOT0280,STU0067,DOC0007,Italiano,7
VOT0281,STU0067,DOC0009,Matematica,9
VOT0282,STU0067,DOC0009,Matematica,4
VOT0283,STU0068,DOC0006,Storia,4
VOT0284,STU0068,DOC0006,Storia,7
VOT0285,STU0068,DOC0007,Italiano,7
VOT0286,STU0068,DOC0007,Italiano,6
VOT0287,STU0068,DOC0009,Matematica,6
VOT0288,STU0068,DOC0009,Matematica,9
VOT0289,STU0069,DOC0006,Storia,6
VOT0290,STU0069,DOC0006,Storia,6
VOT0291,STU0069,DOC0007,Italiano,3
VOT0292,STU0069,DOC0007,Italiano,7
VOT0293,STU0069,DOC0009,Matematica,6
VOT0294,STU0069,DOC0009,Matematica,8
VOT0295,STU0070,DOC0006,Storia,6
VOT0296,STU0070,DOC0006,Storia,6
VOT0297,STU0070,DOC0007,Italiano,5
VOT0298,STU0070,DOC0007,Italiano,5
VOT0299,STU0070,DOC0009,Matematica,8
VOT0300,STU0070,DOC0009,Matematica,6
VOT0301,STU0071,DOC0006,Storia,8
VOT0302,STU0071,DOC0006,Storia,6
VOT0303,STU0071,DOC0007,Italiano,8
VOT0304,STU0071,DOC0007,Italiano,9
VOT0305,STU0071,DOC0009,Matematica,5
VOT0306,STU0071,DOC0009,Matematica,7
VOT0307,STU0072,DOC0006,Storia,8
VOT0308,STU0072,DOC0006,Storia,7
VOT0309,STU0072,DOC0007,Italiano,7
VOT0310,STU0072,DOC0007,Italiano,4
VOT0311,STU0072,DOC0009,Matematica,7
VOT0312,STU0072,DOC0009,Matematica,7
VOT0313,STU0073,DOC0006,Storia,9
VOT0314,STU0073,DOC0006,Storia,6
VOT0315,STU0073,DOC0007,Italiano,8
VOT0316,STU0073,DOC0007,Italiano,7
VOT0317,STU0073,DOC0009,Matematica,6
VOT0318,STU0073,DOC0009,Matematica,8
VOT0319,STU0074,DOC0006,Storia,6
VOT0320,STU0074,DOC0006,Storia,6
VOT0321,STU0074,DOC0007,Italiano,7
VOT0322,STU0074,DOC0007,Italiano,7
VOT0323,STU0074,DOC0009,Matematica,5
VOT0324,STU0074,DOC0009,Matematica,6
VOT0325,STU0075,DOC0006,Storia,8
VOT0326,STU0075,DOC0006,Storia,6
VOT0327,STU0075,DOC0007,Italiano,8
VOT0328,STU0075,DOC0007,Italiano,6
VOT0329,STU0075,DOC0009,Matematica,5
VOT0330,STU0075,DOC0009,Matematica,5
VOT0331,STU0076,DOC0006,Storia,7
VOT0332,STU0076,DOC0006,Storia,6
VOT0333,STU0076,DOC0007,Italiano,5
VOT0334,STU0076,DOC0007,Italiano,5
VOT0335,STU0076,DOC0009,Matematica,5
VOT0336,STU0076,DOC0009,Matematica,7
VOT0337,STU0077,DOC0006,Storia,7
VOT0338,STU0077,DOC0006,Storia,7
VOT0339,STU0077,DOC0007,Italiano,7
VOT0340,STU0077,DOC0007,Italiano,5
VOT0341,STU0077,DOC0009,Matematica,6
VOT0342,STU0077,DOC0009,Matematica,6
VOT0343,STU0078,DOC0006,Storia,6
VOT0344,STU0078,DOC0006,Storia,9
VOT0345,STU0078,DOC0007,Italiano,5
VOT0346,STU0078,DOC0007,Italiano,8
VOT0347,STU0078,DOC0009,Matematica,8
VOT0348,STU0078,DOC0009,Matematica,7
VOT0349,STU0079,DOC0006,Storia,7
VOT0350,STU0079,DOC0006,Storia,9
VOT0351,STU0079,DOC0007,Italiano,8
VOT0352,STU0079,DOC0007,Italiano,8
VOT0353,STU0079,DOC0009,Matematica,7
VOT0354,STU0079,DOC0009,Matematica,9
VOT0355,STU0095,DOC0002,Storia,4
VOT0356,STU0095,DOC0002,Storia,6
VOT0357,STU0095,DOC0005,Scienze,5
VOT0358,STU0095,DOC0005,Scienze,4
VOT0359,STU0096,DOC0002,Storia,8
VOT0360,STU0096,DOC0002,Storia,9
VOT0361,STU0096,DOC0005,Scienze,8
VOT0362,STU0096,DOC0005,Scienze,6
VOT0363,STU0097,DOC0002,Storia,4
VOT0364,STU0097,DOC0002,Storia,6
VOT0365,STU0097,DOC0005,Scienze,7
VOT0366,STU0097,DOC0005,Scienze,9
VOT0367,STU0098,DOC0002,Storia,9
VOT0368,STU0098,DOC0002,Storia,5
VOT0369,STU0098,DOC0005,Scienze,7
VOT0370,STU0098,DOC0005,Scienze,7
VOT0371,STU0099,DOC0002,Storia,4
VOT0372,STU0099,DOC0002,Storia,8
VOT0373,STU0099,DOC0005,Scienze,8
VOT0374,STU0099,DOC0005,Scienze,9
VOT0375,STU0100,DOC0002,Storia,8
VOT0376,STU0100,DOC0002,Storia,6
VOT0377,STU0100,DOC0005,Scienze,6
VOT0378,STU0100,DOC0005,Scienze,7
VOT0379,STU0101,DOC0002,Storia,6
VOT0380,STU0101,DOC0002,Storia,10
VOT0381,STU0101,DOC0005,Scienze,6
VOT0382,STU0101,DOC0005,Scienze,6
VOT0383,STU0102,DOC0002,Storia,6
VOT0384,STU0102,DOC0002,Storia,6
VOT0385,STU0102,DOC0005,Scienze,7
VOT0386,STU0102,DOC0005,Scienze,7
VOT0387,STU0103,DOC0002,Storia,6
VOT0388,STU0103,DOC0002,Storia,8
VOT0389,STU0103,DOC0005,Scienze,6
VOT0390,STU0103,DOC0005,Scienze,6
VOT0391,STU0104,DOC0002,Storia,4
VOT0392,STU0104,DOC0002,Storia,5
VOT0393,STU0104,DOC0005,Scienze,7
VOT0394,STU0104,DOC0005,Scienze,4
VOT0395,STU0105,DOC0002,Storia,7
VOT0396,STU0105,DOC0002,Storia,3
VOT0397,STU0105,DOC0005,Scienze,5
VOT0398,STU0105,DOC0005,Scienze,7
VOT0399,STU0106,DOC0002,Storia,7
VOT0400,STU0106,DOC0002,Storia,7
VOT0401,STU0106,DOC0005,Scienze,5
VOT0402,STU0106,DOC0005,Scienze,6
VOT0403,STU0107,DOC0002,Storia,5
VOT0404,STU0107,DOC0002,Storia,9
VOT0405,STU0107,DOC0005,Scienze,8
VOT0406,STU0107,DOC0005,Scienze,7
VOT0407,STU0120,DOC0017,Matematica,7
VOT0408,STU0120,DOC0017,Matematica,6
VOT0409,STU0120,DOC0018,Scienze,6
VOT0410,STU0120,DOC0018,Scienze,6
VOT0411,STU0120,DOC0020,Storia,8
VOT0412,STU0120,DOC0020,Storia,8
VOT0413,STU0121,DOC0017,Matematica,6
VOT0414,STU0121,DOC0017,Matematica,5
VOT0415,STU0121,DOC0018,Scienze,9
VOT0416,STU0121,DOC0018,Scienze,8
VOT0417,STU0121,DOC0020,Storia,7
VOT0418,STU0121,DOC0020,Storia,5
VOT0419,STU0122,DOC0017,Matematica,5
VOT0420,STU0122,DOC0017,Matematica,6
VOT0421,STU0122,DOC0018,Scienze,8
VOT0422,STU0122,DOC0018,Scienze,7
VOT0423,STU0122,DOC0020,Storia,8
VOT0424,STU0122,DOC0020,Storia,7
VOT0425,STU0123,DOC0017,Matematica,8
VOT0426,STU0123,DOC0017,Matematica,8
VOT0427,STU0123,DOC0018,Scienze,8
VOT0428,STU0123,DOC0018,Scienze,6
VOT0429,STU0123,DOC0020,Storia,7
VOT0430,STU0123,DOC0020,Storia,6
VOT0431,STU0124,DOC0017,Matematica,5
VOT0432,STU0124,DOC0017,Matematica,5
VOT0433,STU0124,DOC0018,Scienze,3
VOT0434,STU0124,DOC0018,Scienze,8
VOT0435,STU0124,DOC0020,Storia,10
VOT0436,STU0124,DOC0020,Storia,9
VOT0437,STU0125,DOC0017,Matematica,9
VOT0438,STU0125,DOC0017,Matematica,4
VOT0439,STU0125,DOC0018,Scienze,7
VOT0440,STU0125,DOC0018,Scienze,5
VOT0441,STU0125,DOC0020,Storia,6
VOT0442,STU0125,DOC0020,Storia,9
VOT0443,STU0126,DOC0017,Matematica,6
VOT0444,STU0126,DOC0017,Matematica,10
VOT0445,STU0126,DOC0018,Scienze,4
VOT0446,STU0126,DOC0018,Scienze,7
VOT0447,STU0126,DOC0020,Storia,4
VOT0448,STU0126,DOC0020,Storia,8
VOT0449,STU0127,DOC0017,Matematica,7
VOT0450,STU0127,DOC0017,Matematica,10
VOT0451,STU0127,DOC0018,Scienze,7
VOT0452,STU0127,DOC0018,Scienze,6
VOT0453,STU0127,DOC0020,Storia,7
VOT0454,STU0127,DOC0020,Storia,7
VOT0455,STU0128,DOC0017,Matematica,7
VOT0456,STU0128,DOC0017,Matematica,5
VOT0457,STU0128,DOC0018,Scienze,4
VOT0458,STU0128,DOC0018,Scienze,7
VOT0459,STU0128,DOC0020,Storia,5
VOT0460,STU0128,DOC0020,Storia,5
VOT0461,STU0129,DOC0017,Matematica,6
VOT0462,STU0129,DOC0017,Matematica,6
VOT0463,STU0129,DOC0018,Scienze,6
VOT0464,STU0129,DOC0018,Scienze,7
VOT0465,STU0129,DOC0020,Storia,7
VOT0466,STU0129,DOC0020,Storia,7
VOT0467,STU0130,DOC0017,Matematica,4
VOT0468,STU0130,DOC0017,Matematica,6
VOT0469,STU0130,DOC0018,Scienze,8
VOT0470,STU0130,DOC0018,Scienze,7
VOT0471,STU0130,DOC0020,Storia,4
VOT0472,STU0130,DOC0020,Storia,6
VOT0473,STU0131,DOC0017,Matematica,8
VOT0474,STU0131,DOC0017,Matematica,8
VOT0475,STU0131,DOC0018,Scienze,7
VOT0476,STU0131,DOC0018,Scienze,7
VOT0477,STU0131,DOC0020,Storia,5
VOT0478,STU0131,DOC0020,Storia,6
VOT0479,STU0132,DOC0017,Matematica,8
VOT0480,STU0132,DOC0017,Matematica,6
VOT0481,STU0132,DOC0018,Scienze,8
VOT0482,STU0132,DOC0018,Scienze,7
VOT0483,STU0132,DOC0020,Storia,8
VOT0484,STU0132,DOC0020,Storia,6
VOT0485,STU0133,DOC0017,Matematica,6
VOT0486,STU0133,DOC0017,Matematica,3
VOT0487,STU0133,DOC0018,Scienze,5
VOT0488,STU0133,DOC0018,Scienze,7
VOT0489,STU0133,DOC0020,Storia,3
VOT0490,STU0133,DOC0020,Storia,5
VOT0491,STU0134,DOC0017,Matematica,5
VOT0492,STU0134,DOC0017,Matematica,7
VOT0493,STU0134,DOC0018,Scienze,4
VOT0494,STU0134,DOC0018,Scienze,8
VOT0495,STU0134,DOC0020,Storia,3
VOT0496,STU0134,DOC0020,Storia,6
VOT0497,STU0135,DOC0017,Matematica,5
VOT0498,STU0135,DOC0017,Matematica,8
VOT0499,STU0135,DOC0018,Scienze,6
VOT0500,STU0135,DOC0018,Scienze,7
VOT0501,STU0135,DOC0020,Storia,7
VOT0502,STU0135,DOC0020,Storia,5
VOT0503,STU0136,DOC0017,Matematica,7
VOT0504,STU0136,DOC0017,Matematica,7
VOT0505,STU0136,DOC0018,Scienze,7
VOT0506,STU0136,DOC0018,Scienze,8
VOT0507,STU0136,DOC0020,Storia,7
VOT0508,STU0136,DOC0020,Storia,7
VOT0509,STU0137,DOC0017,Matematica,6
VOT0510,STU0137,DOC0017,Matematica,7
VOT0511,STU0137,DOC0018,Scienze,6
VOT0512,STU0137,DOC0018,Scienze,7
VOT0513,STU0137,DOC0020,Storia,5
VOT0514,STU0137,DOC0020,Storia,8
VOT0515,STU0138,DOC0013,Italiano,9
VOT0516,STU0138,DOC0013,Italiano,8
VOT0517,STU0138,DOC0015,Matematica,9
VOT0518,STU0138,DOC0015,Matematica,9
VOT0519,STU0139,DOC0013,Italiano,8
VOT0520,STU0139,DOC0013,Italiano,8
VOT0521,STU0139,DOC0015,Matematica,7
VOT0522,STU0139,DOC0015,Matematica,6
VOT0523,STU0140,DOC0013,Italiano,4
VOT0524,STU0140,DOC0013,Italiano,4
VOT0525,STU0140,DOC0015,Matematica,7
VOT0526,STU0140,DOC0015,Matematica,6
VOT0527,STU0141,DOC0013,Italiano,6
VOT0528,STU0141,DOC0013,Italiano,5
VOT0529,STU0141,DOC0015,Matematica,8
VOT0530,STU0141,DOC0015,Matematica,6
VOT0531,STU0142,DOC0013,Italiano,5
VOT0532,STU0142,DOC0013,Italiano,6
VOT0533,STU0142,DOC0015,Matematica,10
VOT0534,STU0142,DOC0015,Matematica,9
VOT0535,STU0143,DOC0013,Italiano,5
VOT0536,STU0143,DOC0013,Italiano,7
VOT0537,STU0143,DOC0015,Matematica,5
VOT0538,STU0143,DOC0015,Matematica,9
VOT0539,STU0144,DOC0013,Italiano,7
VOT0540,STU0144,DOC0013,Italiano,8
VOT0541,STU0144,DOC0015,Matematica,8
VOT0542,STU0144,DOC0015,Matematica,5
VOT0543,STU0145,DOC0013,Italiano,7
VOT0544,STU0145,DOC0013,Italiano,7
VOT0545,STU0145,DOC0015,Matematica,5
VOT0546,STU0145,DOC0015,Matematica,6
VOT0547,STU0146,DOC0013,Italiano,6
VOT0548,STU0146,DOC0013,Italiano,5
VOT0549,STU0146,DOC0015,Matematica,9
VOT0550,STU0146,DOC0015,Matematica,5
VOT0551,STU0147,DOC0013,Italiano,7
VOT0552,STU0147,DOC0013,Italiano,6
VOT0553,STU0147,DOC0015,Matematica,10
VOT0554,STU0147,DOC0015,Matematica,7
VOT0555,STU0148,DOC0013,Italiano,7
VOT0556,STU0148,DOC0013,Italiano,7
VOT0557,STU0148,DOC0015,Matematica,8
VOT0558,STU0148,DOC0015,Matematica,7
VOT0559,STU0149,DOC0013,Italiano,4
VOT0560,STU0149,DOC0013,Italiano,5
VOT0561,STU0149,DOC0015,Matematica,7
VOT0562,STU0149,DOC0015,Matematica,8
VOT0563,STU0150,DOC0009,Matematica,6
VOT0564,STU0150,DOC0009,Matematica,5
VOT0565,STU0151,DOC0009,Matematica,3
VOT0566,STU0151,DOC0009,Matematica,5
VOT0567,STU0152,DOC0009,Matematica,8
VOT0568,STU0152,DOC0009,Matematica,7
VOT0569,STU0153,DOC0009,Matematica,7
